tiempo,ángulo
'0:0:0.0,204.65
'0:0:0.01,207.55
'0:0:0.02,208.60
'0:0:0.03,210.54
'0:0:0.04,212.12
'0:0:0.05,212.12
'0:0:0.06,213.00
'0:0:0.07,214.67
'0:0:0.08,216.34
'0:0:0.09,217.22
'0:0:0.1,219.33
'0:0:0.11,221.70
'0:0:0.12,222.67
'0:0:0.13,224.08
'0:0:0.14,225.13
'0:0:0.15,225.66
'0:0:0.16,226.45
'0:0:0.17,227.15
'0:0:0.18,227.51
'0:0:0.19,228.03
'0:0:0.2,228.30
'0:0:0.21,228.47
'0:0:0.22,228.74
'0:0:0.23,228.74
'0:0:0.24,228.74
'0:0:0.25,228.74
'0:0:0.26,228.74
'0:0:0.27,228.65
'0:0:0.28,228.30
'0:0:0.29,227.77
'0:0:0.3,227.33
'0:0:0.31,226.45
'0:0:0.32,225.57
'0:0:0.33,225.13
'0:0:0.34,224.43
'0:0:0.35,223.90
'0:0:0.36,223.73
'0:0:0.37,223.46
'0:0:0.38,223.29
'0:0:0.39,223.29
'0:0:0.4,223.11
'0:0:0.41,222.49
'0:0:0.42,221.88
'0:0:0.43,220.12
'0:0:0.44,217.66
'0:0:0.45,216.25
'0:0:0.46,213.26
'0:0:0.47,210.19
'0:0:0.48,208.52
'0:0:0.49,205.26
'0:0:0.5,202.54
'0:0:0.51,201.31
'0:0:0.52,197.35
'0:0:0.53,196.47
'0:0:0.54,195.42
'0:0:0.55,192.96
'0:0:0.56,191.55
'0:0:0.57,190.06
'0:0:0.58,186.54
'0:0:0.59,182.93
'0:0:0.6,181.09
'0:0:0.61,177.40
'0:0:0.62,173.70
'0:0:0.63,171.95
'0:0:0.64,168.96
'0:0:0.65,166.32
'0:0:0.66,165.09
'0:0:0.67,162.63
'0:0:0.68,159.73
'0:0:0.69,158.06
'0:0:0.7,154.72
'0:0:0.71,151.38
'0:0:0.72,149.79
'0:0:0.73,146.45
'0:0:0.74,143.20
'0:0:0.75,141.62
'0:0:0.76,138.80
'0:0:0.77,136.25
'0:0:0.78,135.11
'0:0:0.79,133.00
'0:0:0.8,130.98
'0:0:0.81,129.93
'0:0:0.82,127.90
'0:0:0.83,125.71
'0:0:0.84,124.56
'0:0:0.85,122.45
'0:0:0.86,120.34
'0:0:0.87,119.38
'0:0:0.88,117.62
'0:0:0.89,116.12
'0:0:0.9,115.51
'0:0:0.91,114.37
'0:0:0.92,113.49
'0:0:0.93,113.13
'0:0:0.94,112.70
'0:0:0.95,112.43
'0:0:0.96,112.34
'0:0:0.97,112.17
'0:0:0.98,112.08
'0:0:0.99,112.08
'0:0:1.0,112.08
'0:0:1.01,112.17
'0:0:1.02,112.34
'0:0:1.03,112.34
'0:0:1.04,112.61
'0:0:1.05,112.70
'0:0:1.06,113.05
'0:0:1.07,113.40
'0:0:1.08,113.49
'0:0:1.09,113.75
'0:0:1.1,113.84
'0:0:1.11,114.01
'0:0:1.12,114.28
'0:0:1.13,114.72
'0:0:1.14,114.98
'0:0:1.15,115.68
'0:0:1.16,117.53
'0:0:1.17,119.38
'0:0:1.18,120.52
'0:0:1.19,121.75
'0:0:1.2,124.30
'0:0:1.21,125.62
'0:0:1.22,128.26
'0:0:1.23,129.66
'0:0:1.24,132.47
